,date,analysed_days,is_holiday,line_id,route_id,segment,hour,h_travel_t,h_sch_t,h_traffic_t,h_boarding_t,s_t_in_motion,s_total_t,adj_sch_t,h_avg_speed,s_speed
45789,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,4,45,60,0,0,32,30,60,28,35
45790,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,4,75,120,3,22,61,90,60,25,29
45791,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,4,90,60,0,0,48,45,60,34,45
45792,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,4,48,60,0,0,45,45,60,32,33
45793,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,4,40,60,0,0,33,30,60,32,39
45794,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,4,40,60,2,2,28,30,60,28,39
45795,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,4,65,60,6,16,39,60,60,29,43
45796,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,4,110,120,0,0,59,60,60,26,40
45797,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,4,89,120,5,28,59,90,120,27,40
45798,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,4,134,120,21,39,56,120,120,24,35
45799,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,4,132,120,1,1,57,60,60,28,37
45800,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,4,62,60,4,15,42,60,60,32,40
45801,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,4,159,120,14,0,92,120,120,22,26
45802,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,5,62,60,20,25,31,60,60,18,24
45803,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,5,73,60,12,9,29,45,60,14,18
45804,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,5,50,60,4,9,32,45,60,27,35
45805,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,5,84,120,5,24,61,90,120,24,29
45806,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,5,89,60,5,14,48,60,60,36,45
45807,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,5,71,60,7,8,45,60,60,28,33
45808,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,5,49,60,5,7,33,45,60,32,39
45809,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,5,48,60,5,8,28,45,60,33,39
45810,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,5,59,60,5,16,39,60,60,36,43
45811,2025/4/21,7,FALSE,TM25,TM86,TM0639_TM0589,5,109,120,7,8,59,75,60,29,40
45812,2025/4/21,7,FALSE,TM25,TM86,TM0589_TM0880,5,132,60,29,8,66,105,60,27,37
45813,2025/4/21,7,FALSE,TM25,TM86,TM0880_TM0891,5,94,120,13,21,59,90,120,30,40
45814,2025/4/21,7,FALSE,TM25,TM86,TM0891_TM0348,5,108,120,17,44,56,120,120,27,35
45815,2025/4/21,7,FALSE,TM25,TM86,TM0348_TM2103,5,137,120,4,9,57,75,60,27,37
45816,2025/4/21,7,FALSE,TM25,TM86,TM2103_TM2261,5,72,60,3,12,42,60,60,29,40
45817,2025/4/21,7,FALSE,TM25,TM86,TM2261_TM0851,5,156,120,40,0,92,120,120,23,26
45818,2025/4/21,7,FALSE,TM25,TM86,TM1721_TM1284,6,54,60,12,24,31,60,60,17,24
45819,2025/4/21,7,FALSE,TM25,TM86,TM1284_TM1280,6,80,60,17,12,29,60,60,14,18
45820,2025/4/21,7,FALSE,TM25,TM86,TM1280_TM1298,6,52,60,5,10,32,45,60,29,35
45821,2025/4/21,7,FALSE,TM25,TM86,TM1298_TM0758,6,86,120,6,23,61,90,120,25,29
45822,2025/4/21,7,FALSE,TM25,TM86,TM0758_TM0273,6,87,60,5,9,48,60,60,38,45
45823,2025/4/21,7,FALSE,TM25,TM86,TM0273_TM0645,6,67,60,7,10,45,60,60,29,33
45824,2025/4/21,7,FALSE,TM25,TM86,TM0645_TM0694,6,52,60,6,10,33,45,60,32,39
45825,2025/4/21,7,FALSE,TM25,TM86,TM0694_TM2110,6,49,60,5,11,28,45,60,34,39
45826,2025/4/21,7,FALSE,TM25,TM86,TM2110_TM0639,6,62,60,7,20,39,60,60,37,43
